candidate,post
Donald Trump,Working families have found their biggest advocates in the Trump Administration. We will never stop fighting for you!
Donald Trump,"PROMISES MADE, PROMISES KEPT!"
Donald Trump,"Polling is looking really bad for impeachment-obsessed Democrats, so they’re rushing an already unfair process. This is a disgrace to our country. They don’t want the American people to decide the election!"
Donald Trump,"I also have constantly asked, “Why aren’t Germany, France and other European countries helping Ukraine more? They are the biggest beneficiaries. Why is it always the good ol’ United States?” The Radical Left, Do Nothing Democrats, never mention this at their phony hearing!"
Donald Trump,"Dems Veronica Escobar and Jackson Lee purposely misquoted my call. I said I want you to do us (our Country!) a favor, not me a favor. They know that but decided to LIE in order to make a fraudulent point! Very sad."
Joe Biden,The world is laughing at President Trump. They see him for what he really is: dangerously incompetent and incapable of world leadership.We cannot give him four more years as commander in chief.
Joe Biden,President Trump continues to deny the scientific evidence in front of his own eyes — and we’re all paying the price. We must get him out of the White House and treat climate change like the existential threat it is.
Joe Biden,"We must restore our nation's commitment to humane and effective immigration policies. As president, I'll provide a fair and just system that helps to grow and enhance our economy, and secure our cherished values."
Joe Biden,"The one truly sacred obligation our government has is to properly train and equip the men and women who defend our nation at war and to care for them and their families—while they’re deployed, and after they come home. We need a president who will honor that obligation."
Joe Biden,"What kind of president bullies a teenager? Donald Trump, you could learn a few things from Greta on what it means to be a leader."
Elizabeth Warren,"Some candidates jet off to Manhattan or San Francisco for fancy fundraisers that cost more than $2,000 a ticket.Not me. We’re building our campaign one small-dollar donation at a time—because the presidency shouldn’t be bought by the wealthy and well-connected. Chip in $3 now to join us."
Elizabeth Warren,"We’re weeks away from the first caucuses and primaries. If a few more people on Facebook chip in tonight, we’ll be on track to grow our grassroots movement before voting begins.I’m deeply grateful for any amount you’re able to give."
Elizabeth Warren,"Some people dismiss any investment in middle-class families as “free stuff.”You know who's getting free stuff? Amazon, which had $10 billion in profits this year and is paying $0 in federal income taxes.Working families are paying their fair share—let’s invest in them."
Elizabeth Warren,"I don't sell access to my time. I don't do closed-door fundraisers. And I don't ask for a $1,000 contribution for a selfie. If you want to know about a candidate’s commitment to reform, don’t just look at what they say they will do—look at what they’re doing right now."
Elizabeth Warren,Wall Street executives and billionaires are spending their time and money attacking me—they believe I'm the biggest threat to a corrupt system that has enriched them at everyone else’s expense. They are right.I do have a plan to make real change.
Bernie Sanders,"Corporate-backed think tanks pretend that America’s obscene income inequality was inevitable. Technology, globalization and automation are responsible, they claim. There's nothing we can do to stop it. Well, the last time I checked, Western Europe also competes in the global economy, and they managed to keep their middle class.Make no mistake: inequality is a political choice. And when we stand up and fight for policies that empower working families and make the rich pay their fair share, we will create an economy that works for everyone—not just the top 1%."
